Id,Label,Type,Class
Ferrara,Ferrara,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Athos Fadigati,Athos Fadigati,Character,Primary Character
via Gorgadello,via Gorgadello,Place,Ferrara's Locations
Piazza delle Erbe,Piazza delle Erbe,Place,Ferrara's Locations
Venezia,Venezia,Place,Others
io,io,Character,Primary Character
corso Giovecca,corso Giovecca,Place,Ferrara's Locations
corso Roma,corso Roma,Place,Ferrara's Locations
palazzo delle Assicurazioni Generali,palazzo delle Assicurazioni Generali,Place,Ferrara's Locations
Castello,Castello,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Ferrara,Ferrara,Place,Ferrara's Locations
Arcispedale,Arcispedale,Place,Ferrara's Locations
Venezia,Venezia,Place,Others
Canal Grande,Canal Grande,Place,Others
genitori,genitori,Character,Others
sorella,sorella,Character,Others
via Gorgadello,via Gorgadello,Place,Ferrara's Locations
Ferrara,Ferrara,Place,Ferrara's Locations
Arcispedale,Arcispedale,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
piazza Cattedrale,piazza Cattedrale,Place,Ferrara's Locations
via Gorgadello,via Gorgadello,Place,Ferrara's Locations
Circolo dei Negozianti,Circolo dei Negozianti,Place,Ferrara's Locations
Unione,Unione,Place,Ferrara's Locations
Comunale di Bologna,Comunale di Bologna,Place,Bologna's Locations
Aureliano Pertile,Aureliano Pertile,Character,Cultural Character
De Chirico,De Chirico,Character,Cultural Character
Casoratino,Casoratino,Character,Cultural Character
De Pisis,De Pisis,Character,Cultural Character
De Pisis,De Pisis,Character,Cultural Character
De Pisis,De Pisis,Character,Cultural Character
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
corso Giovecca,corso Giovecca,Place,Ferrara's Locations
da Vincenzo,da Vincenzo,Place,Ferrara's Locations
dalla Sandrina,dalla Sandrina,Place,Ferrara's Locations
ai Tre Galletti,ai Tre Galletti,Place,Ferrara's Locations
da Roveraro,da Roveraro,Place,Ferrara's Locations
vicolo del Granchio,vicolo del Granchio,Place,Ferrara's Locations
via Gorgadello,via Gorgadello,Place,Ferrara's Locations
via Bersaglieri del Po,via Bersaglieri del Po,Place,Ferrara's Locations
Mercerie veneziane,Mercerie veneziane,Place,Ferrara's Locations
via Mazzini,via Mazzini,Place,Ferrara's Locations
via Saraceno,via Saraceno,Place,Ferrara's Locations
duomo,duomo,Place,Ferrara's Locations
Piazza Travaglio,Piazza Travaglio,Place,Ferrara's Locations
via Garibaldi,via Garibaldi,Place,Ferrara's Locations
via San Romano,via San Romano,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Excelsior,Excelsior,Place,Ferrara's Locations
Salvini,Salvini,Place,Ferrara's Locations
Rex,Rex,Place,Ferrara's Locations
Diana,Diana,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
via Gorgadello,via Gorgadello,Place,Ferrara's Locations
Segretario Federale,Segretario Federale,Character,Others
San Carlo,San Carlo,Place,Ferrara's Locations
duomo,duomo,Place,Ferrara's Locations
dottor Corcos,dottor Corcos,Character,Others
Excelsior,Excelsior,Place,Ferrara's Locations
Salvini,Salvini,Place,Ferrara's Locations
Piazza delle Erbe,Piazza delle Erbe,Place,Ferrara's Locations
Listone,Listone,Place,Ferrara's Locations
via Bersaglieri del Po,via Bersaglieri del Po,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Gorgadello,Gorgadello,Place,Others
Bersaglieri del Po,Bersaglieri del Po,Place,Others
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
via San Romano,via San Romano,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Ferrara,Ferrara,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Negozianti,Negozianti,Place,Ferrara's Locations
Unione,Unione,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Venezia,Venezia,Place,Others
Biennale,Biennale,Place,Others
Firenze,Firenze,Place,Others
Maggio,Maggio,Place,Others
Berta,Berta,Place,Others
Firenze,Firenze,Place,Others
Wagner,Wagner,Character,Cultural Character
Fadigati,Fadigati,Character,Primary Character
Bruno Walter,Bruno Walter,Character,Cultural Character
Comunale fiorentino,Comunale fiorentino,Place,Others
Fadigati,Fadigati,Character,Primary Character
maestro germanico,maestro germanico,Character,Cultural Character
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Maria Grillanzoni,Maria Grillanzoni,Character,Others
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Manservigi,Manservigi,Character,Others
corso Roma,corso Roma,Place,Ferrara's Locations
corso Giovecca,corso Giovecca,Place,Ferrara's Locations
Montagnone,Montagnone,Place,Ferrara's Locations
Trapolini,Trapolini,Character,Others
Fadigati,Fadigati,Character,Primary Character
Baùsi,Baùsi,Character,Others
Olao Baùsi,Olao Baùsi,Character,Others
Fadigati,Fadigati,Character,Primary Character
duomo,duomo,Place,Ferrara's Locations
Bach,Bach,Character,Cultural Character
Mozart,Mozart,Character,Cultural Character
Beethoven,Beethoven,Character,Cultural Character
Wagner,Wagner,Character,Cultural Character
Wagner,Wagner,Character,Cultural Character
Manservigi,Manservigi,Character,Others
usciere Trapolini,usciere Trapolini,Character,Others
Baùsi,Baùsi,Character,Others
dottore,dottore,Character,Primary Character
via Gorgadello,via Gorgadello,Place,Ferrara's Locations
Ferrara,Ferrara,Place,Ferrara's Locations
Bologna,Bologna,Place,Bologna's Locations
Ferrara,Ferrara,Place,Ferrara's Locations
Corticella,Corticella,Place,Others
stazione bolognese,stazione bolognese,Place,Bologna's Locations
Ciano,Ciano,Character,Historical Character
ministro delle Comunicazioni,ministro delle Comunicazioni,Character,Others
Ferrara,Ferrara,Place,Ferrara's Locations
Bologna,Bologna,Place,Bologna's Locations
Porta Galliera,Porta Galliera,Place,Bologna's Locations
Bologna,Bologna,Place,Bologna's Locations
viale Cavour,viale Cavour,Place,Ferrara's Locations
Eraldo Deliliers,Eraldo Deliliers,Character,Primary Character
stazione,stazione,Place,Bologna's Locations
Deliliers,Deliliers,Character,Primary Character
Ferrara,Ferrara,Place,Ferrara's Locations
Bologna,Bologna,Place,Bologna's Locations
Ferrara,Ferrara,Place,Ferrara's Locations
colle di San Luca,colle di San Luca,Place,Bologna's Locations
Poggio Renatico,Poggio Renatico,Place,Others
Galliera,Galliera,Place,Bologna's Locations
San Giorgio di Piano,San Giorgio di Piano,Place,Others
San Pietro in Casale,San Pietro in Casale,Place,Others
Castelmaggiore,Castelmaggiore,Place,Others
Corticella,Corticella,Place,Others
Bologna,Bologna,Place,Bologna's Locations
Ferrara,Ferrara,Place,Ferrara's Locations
Bologna,Bologna,Place,Bologna's Locations
Fadigati,Fadigati,Character,Primary Character
Bologna,Bologna,Place,Bologna's Locations
viale Cavour,viale Cavour,Place,Ferrara's Locations
Castello,Castello,Place,Ferrara's Locations
conduttore Aldrovandi,conduttore Aldrovandi,Character,Others
viale Cavour,viale Cavour,Place,Ferrara's Locations
stazione,stazione,Place,Bologna's Locations
Deliliers,Deliliers,Character,Primary Character
mi,mi,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
tipo,tipo,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Bianca Sgarbi,Bianca Sgarbi,Character,Student Character
sorelle Sgarbi,sorelle Sgarbi,Character,Others
Attilia,Attilia,Character,Others
Deliliers,Deliliers,Character,Primary Character
Bianca Sgarbi,Bianca Sgarbi,Character,Student Character
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
Malta,Malta,Place,Others
Bianca,Bianca,Character,Student Character
Deliliers,Deliliers,Character,Primary Character
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
vecchio finocchio,vecchio finocchio,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
San Giorgio di Piano,San Giorgio di Piano,Place,Others
San Pietro in Casale,San Pietro in Casale,Place,Others
Fadigati,Fadigati,Character,Primary Character
Ponza,Ponza,Place,Others
Tremiti,Tremiti,Place,Others
Poggio Renatico,Poggio Renatico,Place,Others
Mi,Mi,Character,Primary Character
Bologna,Bologna,Place,Bologna's Locations
io,io,Character,Primary Character
mi,mi,Character,Primary Character
io,io,Character,Primary Character
stazione,stazione,Place,Bologna's Locations
Mascarella,Mascarella,Place,Bologna's Locations
Fadigati,Fadigati,Character,Primary Character
Mascarella,Mascarella,Place,Bologna's Locations
via Zamboni,via Zamboni,Place,Bologna's Locations
via Indipendenza,via Indipendenza,Place,Bologna's Locations
Deliliers,Deliliers,Character,Primary Character
stazione,stazione,Place,Bologna's Locations
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
Bianca Sgarbi,Bianca Sgarbi,Character,Student Character
Bianca,Bianca,Character,Student Character
Sergio Pavani,Sergio Pavani,Character,Student Character
Otello Forti,Otello Forti,Character,Student Character
Giovannino Piazza,Giovannino Piazza,Character,Student Character
Enrico Sangiuliano,Enrico Sangiuliano,Character,Student Character
Vittorio Molon,Vittorio Molon,Character,Student Character
Bianca Sgarbi,Bianca Sgarbi,Character,Student Character
io,io,Character,Primary Character
via Indipendenza,via Indipendenza,Place,Bologna's Locations
Fadigati,Fadigati,Character,Primary Character
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
Bianca Sgarbi,Bianca Sgarbi,Character,Student Character
Fadigati,Fadigati,Character,Primary Character
Nino,Nino,Character,Student Character
Bianca,Bianca,Character,Student Character
Bianca,Bianca,Character,Student Character
Bianca,Bianca,Character,Student Character
Nino,Nino,Character,Student Character
piazza del Nettuno,piazza del Nettuno,Place,Bologna's Locations
Fadigati,Fadigati,Character,Primary Character
Bologna,Bologna,Place,Bologna's Locations
via Gorgadello,via Gorgadello,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Venezia,Venezia,Place,Others
Padova,Padova,Place,Others
Padova,Padova,Place,Others
Ferrara,Ferrara,Place,Ferrara's Locations
Bologna,Bologna,Place,Bologna's Locations
Padova,Padova,Place,Others
Arslan,Arslan,Character,Others
Venezia,Venezia,Place,Others
Padova,Padova,Place,Others
Padova,Padova,Place,Others
Bianca,Bianca,Character,Student Character
Fadigati,Fadigati,Character,Primary Character
Venezia,Venezia,Place,Others
papà,papà,Character,Family Character
mamma,mamma,Character,Family Character
mamma,mamma,Character,Family Character
mamma,mamma,Character,Family Character
Vittorio Molon,Vittorio Molon,Character,Student Character
Fratta Polesine,Fratta Polesine,Place,Others
Vittorio,Vittorio,Character,Student Character
Fadigati,Fadigati,Character,Primary Character
Padova,Padova,Place,Others
Padova,Padova,Place,Others
Elsa Molon,Elsa Molon,Character,Others
signora Molon,signora Molon,Character,Others
via San Francesco,via San Francesco,Place,Others
Padova,Padova,Place,Others
Padova,Padova,Place,Others
Bianca,Bianca,Character,Student Character
Scagnellato,Scagnellato,Character,Others
chiesa di San Francesco,chiesa di San Francesco,Place,Others
Scagnellato,Scagnellato,Character,Others
Deliliers,Deliliers,Character,Primary Character
Bianca,Bianca,Character,Student Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Bianca,Bianca,Character,Student Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Bianca,Bianca,Character,Student Character
Bologna,Bologna,Place,Bologna's Locations
stazione,stazione,Place,Bologna's Locations
Stella del Nord,Stella del Nord,Place,Bologna's Locations
Strada Maggiore,Strada Maggiore,Place,Bologna's Locations
da Gigino,da Gigino,Place,Bologna's Locations
due Torri,due Torri,Place,Bologna's Locations
alla Gallina Faraona,alla Gallina Faraona,Place,Bologna's Locations
San Vitale,San Vitale,Place,Bologna's Locations
via Zamboni,via Zamboni,Place,Bologna's Locations
San Pietro in Casale,San Pietro in Casale,Place,Others
stazione,stazione,Place,Bologna's Locations
Deliliers,Deliliers,Character,Primary Character
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
Nino,Nino,Character,Student Character
Deliliers,Deliliers,Character,Primary Character
Nino,Nino,Character,Student Character
Venezia,Venezia,Place,Others
Nino,Nino,Character,Student Character
Ridolini,Ridolini,Character,Cultural Character
Nino,Nino,Character,Student Character
Franco,Franco,Character,Bourgeoisie Character
Nino,Nino,Character,Student Character
Fadigati,Fadigati,Character,Primary Character
Bianca,Bianca,Character,Student Character
Nino,Nino,Character,Student Character
Fadigati,Fadigati,Character,Primary Character
io,io,Character,Primary Character
Nino,Nino,Character,Student Character
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
Deliliers,Deliliers,Character,Primary Character
Imperia,Imperia,Place,Others
mi,mi,Character,Primary Character
Ventimiglia,Ventimiglia,Place,Others
Grappa,Grappa,Place,Others
Vittorio Molon,Vittorio Molon,Character,Student Character
Ferrara,Ferrara,Place,Ferrara's Locations
Eraldo,Eraldo,Character,Primary Character
Eraldo Deliliers,Eraldo Deliliers,Character,Primary Character
Caffè della Borsa,Caffè della Borsa,Place,Ferrara's Locations
Deliliers,Deliliers,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
Nino,Nino,Character,Student Character
Deliliers,Deliliers,Character,Primary Character
Nino,Nino,Character,Student Character
Nino,Nino,Character,Student Character
Bianca,Bianca,Character,Student Character
mi,mi,Character,Primary Character
me,me,Character,Primary Character
mi,mi,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
mi,mi,Character,Primary Character
mi,mi,Character,Primary Character
mi,mi,Character,Primary Character
mi,mi,Character,Primary Character
mi,mi,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
via Bomporto,via Bomporto,Place,Ferrara's Locations
dottor Manfredini,dottor Manfredini,Character,Others
Fadigati,Fadigati,Character,Primary Character
dottor Manfredini,dottor Manfredini,Character,Others
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
da Majani,da Majani,Place,Bologna's Locations
via Indipendenza,via Indipendenza,Place,Bologna's Locations
Nino Bottecchiari,Nino Bottecchiari,Character,Student Character
Pasticceria Majani,Pasticceria Majani,Place,Bologna's Locations
Bologna,Bologna,Place,Bologna's Locations
Deliliers,Deliliers,Character,Primary Character
signore attempato,signore attempato,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Riccione,Riccione,Place,Adriatic Region's Locations
padre,padre,Character,Family Character
Dolomiti,Dolomiti,Place,Others
Riccione,Riccione,Place,Adriatic Region's Locations
Grand Hôtel,Grand Hôtel,Place,Adriatic Region's Locations
Io,Io,Character,Primary Character
mamma,mamma,Character,Family Character
Fanny,Fanny,Character,Family Character
sorellina minore,sorellina minore,Character,Family Character
Ferrara,Ferrara,Place,Ferrara's Locations
Ernesto,Ernesto,Character,Family Character
fratello,fratello,Character,Family Character
Inghilterra,Inghilterra,Place,Others
Bath,Bath,Place,Others
padre,padre,Character,Family Character
Masi Torello,Masi Torello,Character,Others
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Porto Corsini,Porto Corsini,Place,Adriatic Region's Locations
Punta di Pesaro,Punta di Pesaro,Place,Adriatic Region's Locations
Milano Marittima,Milano Marittima,Place,Adriatic Region's Locations
Cervia,Cervia,Place,Adriatic Region's Locations
Hôtel Mare e Pineta,Hôtel Mare e Pineta,Place,Adriatic Region's Locations
Cesenatico,Cesenatico,Place,Adriatic Region's Locations
Hôtel Britannia,Hôtel Britannia,Place,Adriatic Region's Locations
Viserba,Viserba,Place,Adriatic Region's Locations
Rimini,Rimini,Place,Adriatic Region's Locations
Riccione,Riccione,Place,Adriatic Region's Locations
Cattolica,Cattolica,Place,Adriatic Region's Locations
Riccione,Riccione,Place,Adriatic Region's Locations
Grand Hôtel,Grand Hôtel,Place,Adriatic Region's Locations
Deliliers,Deliliers,Character,Primary Character
Caffè Zanarini,Caffè Zanarini,Place,Adriatic Region's Locations
Grand Hôtel,Grand Hôtel,Place,Adriatic Region's Locations
io,io,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
mi,mi,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Riccione,Riccione,Place,Adriatic Region's Locations
Deliliers,Deliliers,Character,Primary Character
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
avvocato,avvocato,Character,Bourgeoisie Character
figli adolescenti,figli adolescenti,Character,Bourgeoisie Character
due maschi,due maschi,Character,Bourgeoisie Character
femmina,femmina,Character,Bourgeoisie Character
degno consorte,degno consorte,Character,Bourgeoisie Character
Deliliers,Deliliers,Character,Primary Character
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
Pisa,Pisa,Place,Others
giovanotto,giovanotto,Character,Primary Character
signor dottore,signor dottore,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
amato bene,amato bene,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
madre,madre,Character,Family Character
Deliliers,Deliliers,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Riccione,Riccione,Place,Adriatic Region's Locations
Italia,Italia,Place,Others
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
vecchio degenerato,vecchio degenerato,Character,Primary Character
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
io,io,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
mi,mi,Character,Primary Character
mi,mi,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
Ferrara,Ferrara,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
me,me,Character,Primary Character
mi,mi,Character,Primary Character
avvocato Lavezzoli,avvocato Lavezzoli,Character,Bourgeoisie Character
padre,padre,Character,Family Character
Riccione,Riccione,Place,Adriatic Region's Locations
Fadigati,Fadigati,Character,Primary Character
madre,madre,Character,Family Character
Lavezzoli,Lavezzoli,Character,Bourgeoisie Character
Fadigati,Fadigati,Character,Primary Character
padre,padre,Character,Family Character
padre,padre,Character,Family Character
Riccione,Riccione,Place,Adriatic Region's Locations
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
padre,padre,Character,Family Character
Deliliers,Deliliers,Character,Primary Character
mi,mi,Character,Primary Character
dottore,dottore,Character,Primary Character
madre,madre,Character,Family Character
avvocato Lavezzoli,avvocato Lavezzoli,Character,Bourgeoisie Character
padre,padre,Character,Family Character
Fadigati,Fadigati,Character,Primary Character
padre,padre,Character,Family Character
Lavezzoli,Lavezzoli,Character,Bourgeoisie Character
avvocato,avvocato,Character,Bourgeoisie Character
figlioli,figlioli,Character,Others
padre,padre,Character,Family Character
Avvocato,Avvocato,Character,Bourgeoisie Character
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
Fadigati,Fadigati,Character,Primary Character
Fadigati,Fadigati,Character,Primary Character
Lavezzoli,Lavezzoli,Character,Bourgeoisie Character
signora,signora,Character,Bourgeoisie Character
padre,padre,Character,Family Character
mamma,mamma,Character,Family Character
Bologna,Bologna,Place,Bologna's Locations
padre,padre,Character,Family Character
madre,madre,Character,Family Character
Lavezzoli,Lavezzoli,Character,Bourgeoisie Character
padre,padre,Character,Family Character
Fadigati,Fadigati,Character,Primary Character
Italia,Italia,Place,Others
Lido,Lido,Place,Others
Adriatico,Adriatico,Place,Adriatic Region's Locations
Tirreno,Tirreno,Place,Others
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
Tirreno,Tirreno,Place,Others
Riccione,Riccione,Place,Adriatic Region's Locations
viareggio,viareggio,Place,Others
Caffè Zanarini,Caffè Zanarini,Place,Adriatic Region's Locations
Ferrara,Ferrara,Place,Ferrara's Locations
Giovecca,Giovecca,Place,Others
corso Roma,corso Roma,Place,Ferrara's Locations
Caffè della Borsa,Caffè della Borsa,Place,Ferrara's Locations
Fadigati,Fadigati,Character,Primary Character
Deliliers,Deliliers,Character,Primary Character
ragazzi Lavezzoli,ragazzi Lavezzoli,Character,Bourgeoisie Character
madre,madre,Character,Family Character
Fadigati,Fadigati,Character,Primary Character
signora,signora,Character,Bourgeoisie Character
Pascoli,Pascoli,Character,Cultural Character
dottore,dottore,Character,Primary Character
Riviera di Levante,Riviera di Levante,Place,Others
Adriatico,Adriatico,Place,Adriatic Region's Locations
Jugoslavia,Jugoslavia,Place,Others
amico inseparabile,amico inseparabile,Character,Primary Character
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
Fadigati,Fadigati,Character,Primary Character
Rimini,Rimini,Place,Adriatic Region's Locations
padre,padre,Character,Family Character
Duce,Duce,Character,Historical Character
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
padre,padre,Character,Family Character
padre,padre,Character,Family Character
Mussolini,Mussolini,Character,Historical Character
Hitler,Hitler,Character,Historical Character
Italia,Italia,Place,Others
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
Roma,Roma,Place,Others
Riccione,Riccione,Place,Adriatic Region's Locations
padre,padre,Character,Family Character
Donna Rachele,Donna Rachele,Character,Historical Character
avvocato Lavezzoli,avvocato Lavezzoli,Character,Bourgeoisie Character
avvocato Lavezzoli,avvocato Lavezzoli,Character,Bourgeoisie Character
Croce,Croce,Character,Historical Character
avvocato,avvocato,Character,Bourgeoisie Character
padre,padre,Character,Family Character
avv,avv,Character,Bourgeoisie Character
signora Lavezzoli,signora Lavezzoli,Character,Bourgeoisie Character
Filippo,Filippo,Character,Bourgeoisie Character
viale dei Mille,viale dei Mille,Place,Adriatic Region's Locations
Duce,Duce,Character,Historical Character
Pippo,Pippo,Character,Bourgeoisie Character
marito,marito,Character,Bourgeoisie Character
avvocato,avvocato,Character,Bourgeoisie Character
padre,padre,Character,Family Character
Uomo,Uomo,Character,Historical Character
